주차장이름(pl_nm),법정동코드(bemd_code),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
긴고랑로 019-06 주차장,10100,0,1.0,127.078881,37.563824
긴고랑로 021-00 주차장,10100,0,3.0,127.078931,37.563672
남경빌딩 주차장,10100,0,3.0,127.079093,37.56362
CU편의점 주차장,10100,0,4.0,127.079322,37.563538
광진전기조명 주차장,10100,0,11.0,127.079103,37.563233
건화빌딩 주차장,10100,0,3.0,127.079463,37.563482
제이앤빌 주차장,10100,0,9.0,127.07847,37.564906
해담은 주차장,10100,0,13.0,127.078358,37.565123
한슬하우스 2차 주차장,10100,0,8.0,127.078415,37.565216
긴고랑로3길 020-00 주차장,10100,0,1.0,127.078629,37.565213
긴고랑로3길 020-01 주차장,10100,0,4.0,127.078853,37.565273
긴고랑로3길 022-00 주차장,10100,0,8.0,127.078708,37.56533
민선빌 주차장,10100,0,6.0,127.078762,37.565425
긴고랑로3길 004-00 주차장,10100,0,1.0,127.078287,37.564599
중곡 리슈빌 주차장,10100,0,16.0,127.078343,37.564664
긴고랑로3길 007-00 주차장,10100,0,2.0,127.07817,37.564872
긴고랑로3길 009-00 주차장,10100,0,2.0,127.07822,37.564957
긴고랑로5길 011-00 주차장,10100,0,2.0,127.07897,37.564741
긴고랑로5길 013-00 주차장,10100,0,3.0,127.078993,37.564835
긴고랑로5길 015-04 주차장,10100,0,2.0,127.078919,37.56502
대산빌라 주차장,10100,0,9.0,127.079483,37.56492
긴고랑로5길 016-08 주차장,10100,0,2.0,127.079531,37.565007
덕유하이빌 주차장,10100,0,8.0,127.079102,37.565003
긴고랑로5길 018-00 주차장,10100,0,2.0,127.079298,37.564923
긴고랑로5길 019-03 주차장,10100,0,1.0,127.079032,37.565088
긴고랑로5길 019-05 주차장,10100,0,1.0,127.078941,37.565136
긴고랑로5길 022-00 주차장,10100,0,3.0,127.079411,37.565129
긴고랑로5길 023-00 주차장,10100,0,3.0,127.07927,37.565277
긴고랑로5길 023-04 주차장,10100,0,4.0,127.079153,37.565306
긴고랑로5길 024-00 주차장,10100,0,2.0,127.079471,37.565232
긴고랑로5길 025-00 주차장,10100,0,1.0,127.079294,37.565371
긴고랑로5길 028-00 주차장,10100,0,2.0,127.079516,37.565358
진양아트빌2차 주차장,10100,0,5.0,127.078806,37.564463
덕유빌리지 주차장,10100,0,8.0,127.079105,37.564345
긴고랑로5길 005-00 주차장,10100,0,5.0,127.078857,37.564559
진양아트빌3차 주차장,10100,0,6.0,127.079063,37.564498
긴고랑로6길 011-00 주차장,10100,0,9.0,127.0783,37.563002
긴고랑로6길 017-00 주차장,10100,0,7.0,127.078218,37.562808
긴고랑로6길 017-06 주차장,10100,0,1.0,127.078314,37.562643
긴고랑로6길 017-07 주차장,10100,0,1.0,127.07836,37.562728
긴고랑로6길 017-08 주차장,10100,0,1.0,127.078415,37.56261
긴고랑로6길 003-00 주차장,10100,0,1.0,127.078442,37.563327
긴고랑로6길 004-00 주차장,10100,0,4.0,127.078238,37.563416
긴고랑로6길 007-00 주차장,10100,0,2.0,127.078391,37.563234
긴고랑로6길 007-01 주차장,10100,0,2.0,127.078421,37.563181
긴고랑로6길 008-04 주차장,10100,0,2.0,127.077992,37.563356
긴고랑로6길 009-01 주차장,10100,0,3.0,127.078357,37.56308
메이져빌8차 주차장,10100,0,14.0,127.079465,37.563847
이수하이빌 주차장,10100,0,5.0,127.079377,37.564173
긴고랑로7길 016-00 주차장,10100,0,5.0,127.079648,37.564134
긴고랑로7길 019-00 주차장,10100,0,1.0,127.079474,37.564317
긴고랑로7길 020-00 주차장,10100,0,4.0,127.079651,37.564229
긴고랑로7길 023-10 주차장,10100,0,2.0,127.079627,37.564698
긴고랑로7길 023-11 주차장,10100,0,1.0,127.079538,37.564785
긴고랑로7길 023-13 주차장,10100,0,1.0,127.079583,37.56487
긴고랑로7길 023-03 주차장,10100,0,1.0,127.079369,37.564441
긴고랑로7길 023-04 주차장,10100,0,1.0,127.079533,37.564534
긴고랑로7길 023-05 주차장,10100,0,1.0,127.079388,37.564529
세일드림하우스 주차장,10100,0,1.0,127.079441,37.564608
긴고랑로7길 023-08 주차장,10100,0,1.0,127.079579,37.564618
긴고랑로7길 023-09 주차장,10100,0,1.0,127.079491,37.564696
긴고랑로7길 026-00 주차장,10100,0,1.0,127.079802,37.56451
긴고랑로7길 028-00 주차장,10100,0,1.0,127.079854,37.564591
긴고랑로7길 029-00 주차장,10100,0,3.0,127.079728,37.564719
긴고랑로7길 033-00 주차장,10100,0,6.0,127.079833,37.564963
긴고랑로7길 034-02 주차장,10100,0,2.0,127.080049,37.564733
긴고랑로7길 036-00 주차장,10100,0,1.0,127.079985,37.564858
아선화킴미용실 주차장,10100,0,1.0,127.079964,37.565203
긴고랑로7길 004-03 주차장,10100,0,5.0,127.079536,37.563628
긴고랑로7길 005-01 주차장,10100,0,2.0,127.079082,37.563791
각종액자제작전문 주차장,10100,0,1.0,127.079385,37.563691
대박이네맛집 주차장,10100,0,2.0,127.079254,37.563866
긴고랑로8길 010-00 주차장,10100,0,1.0,127.078767,37.562973
극동하이빌 주차장,10100,0,2.0,127.078884,37.562816
긴고랑로8길 012-00 주차장,10100,0,2.0,127.078691,37.562852
긴고랑로8길 015-00 주차장,10100,0,2.0,127.078836,37.562711
명진하우스 주차장,10100,0,7.0,127.07845,37.562714
긴고랑로8길 019-00 주차장,10100,0,2.0,127.078752,37.562519
금성빌라 주차장,10100,0,7.0,127.078749,37.56239
긴고랑로8길 005-07 주차장,10100,0,1.0,127.079324,37.563056
긴고랑로8길 008-06 주차장,10100,0,6.0,127.078605,37.563133
미래하우스부동산 주차장,10100,0,4.0,127.078971,37.562927
긴고랑로8길 009-05 주차장,10100,0,1.0,127.079037,37.562745
동일로70길 022-00 주차장,10100,0,2.0,127.07804,37.564429
동일로70길 024-00 주차장,10100,0,9.0,127.078195,37.564372
동일로70길 025-00 주차장,10100,0,3.0,127.078256,37.564509
와이엔캐슬 주차장,10100,0,8.0,127.07873,37.565007
와이엔캐슬 주차장,10100,0,8.0,127.078819,37.565164
중곡빌라 주차장,10100,0,1.0,127.078467,37.564536
동일로70길 025-06 주차장,10100,0,2.0,127.078512,37.564623
동일로70길 027-00 주차장,10100,0,2.0,127.078424,37.56445
동일로70길 028-00 주차장,10100,0,2.0,127.078278,37.564302
동일로70길 028-03 주차장,10100,0,1.0,127.078332,37.564162
동일로70길 028-04 주차장,10100,0,2.0,127.078219,37.564184
진양아트빌 주차장,10100,0,6.0,127.078415,37.564264
동일로70길 031-00 주차장,10100,0,2.0,127.078574,37.564404
동일로70길 031-11 주차장,10100,0,3.0,127.078804,37.564813
동일로70길 031-03 주차장,10100,0,10.0,127.078606,37.564484
동일로70길 031-09 주차장,10100,0,1.0,127.078762,37.564722
동일로70길 032-00 주차장,10100,0,5.0,127.078541,37.564239
동일로70길 032-05 주차장,10100,0,1.0,127.078598,37.564026
유림건축설비 주차장,10100,0,3.0,127.078701,37.564188
동일로70길 035-00 주차장,10100,0,3.0,127.078752,37.564367
서열수학 주차장,10100,0,3.0,127.078972,37.564262
인화빌3 주차장,10100,0,8.0,127.078805,37.564146
필헤어라인 주차장,10100,0,2.0,127.079092,37.564217
인화빌3 주차장,10100,0,5.0,127.078946,37.56412
신원케스빌 주차장,10100,0,6.0,127.079038,37.564033
신원캐스빌 주차장,10100,0,4.0,127.078998,37.56389
동일로70길 044-00 주차장,10100,0,4.0,127.079225,37.563969
오늘도 좋은날 주차장,10100,0,4.0,127.079613,37.564043
브레트샵 주차장,10100,0,3.0,127.079581,37.563857
천사피아노 주차장,10100,0,4.0,127.079785,37.564003
대성마하 주차장,10100,0,3.0,127.079061,37.565645
동일로72길 028-04 주차장,10100,0,3.0,127.079014,37.565569
동일로72길 028-05 주차장,10100,0,1.0,127.079163,37.565443
동일로72길 028-08 주차장,10100,0,3.0,127.078976,37.565486
원짜장 주차장,10100,0,4.0,127.079229,37.565561
동일로72길 034-00 주차장,10100,0,4.0,127.079365,37.565539
동일로72길 036-00 주차장,10100,0,2.0,127.07957,37.565442
갤러리헤어 주차장,10100,0,5.0,127.079933,37.56531
그린나래 주차장,10100,0,14.0,127.080126,37.564377
면목로 121-01 주차장,10100,0,2.0,127.080196,37.564526
한명빌라 주차장,10100,0,2.0,127.080187,37.564668
경동빌라 주차장,10100,0,11.0,127.080353,37.564785
신성그랜드타워 주차장,10100,0,56.0,127.080267,37.565176
동인상운주식회사 주차장,10100,0,72.0,127.078957,37.562137
일신커튼월 주차장,10100,0,4.0,127.079167,37.562413
진양아트빌3차 주차장,10100,0,6.0,127.079136,37.564449
URBAN휴1차 주차장,10100,0,10.0,127.078629,37.564856
면목로 101-00 주차장,10100,0,15.0,127.079368,37.562906
동일로68길 053-00 주차장,10100,0,1.0,127.078718,37.562171
긴고랑로 031-00 주차장,10100,0,4.0,127.080079,37.563287
긴고랑로 035-00 주차장,10100,0,3.0,127.081879,37.56377
정인빌딩 주차장,10100,0,4.0,127.080099,37.562861
긴고랑로 037-00 주차장,10100,0,6.0,127.080578,37.563113
대화탕 주차장,10100,0,6.0,127.08095,37.56304
긴고랑로 041-01 주차장,10100,0,6.0,127.081083,37.562995
넥스트 플래닛 주차장,10100,0,13.0,127.081216,37.562948
긴고랑로 047-00 주차장,10100,0,4.0,127.081587,37.562754
서울정형외과의원 주차장,10100,0,7.0,127.081879,37.562703
긴고랑로 051-03 주차장,10100,0,2.0,127.082055,37.562714
긴고랑로 051-05 주차장,10100,0,2.0,127.082111,37.562812
통일회관 주차장,10100,0,7.0,127.081913,37.562237
긴고랑로10길 013-00 주차장,10100,0,4.0,127.080149,37.562216
