주차장이름,주차면수,경도,위도,전일가격,법정동코드
612-10 노상주차장,1,127.0855341,37.5483372,40000,10300
612-10 노상주차장,1,127.0855131,37.5483749,40000,10300
612-15 노상주차장,1,127.0855621,37.5482531,40000,10300
612-15 노상주차장,1,127.0855671,37.5482357,40000,10300
612-15 노상주차장,1,127.085565,37.54821,40000,10300
612-10 노상주차장,1,127.085496,37.548403,40000,10300
612-10 노상주차장,1,127.085467,37.548471,40000,10300
612-15 노상주차장,1,127.085591,37.548149,40000,10300
612-7 노상주차장,1,127.08548,37.548684,40000,10300
613-1 노상주차장,1,127.086152,37.548889,40000,10300
614-13 노상주차장,1,127.087855,37.54867,0,10300
615-27 노상주차장,1,127.087823,37.548611,0,10300
616-16 노상주차장,1,127.086876,37.548437,0,10300
617-40 노상주차장,1,127.086544,37.548611,0,10300
617-26 노상주차장,1,127.0855969,37.548189,40000,10300
617-26 노상주차장,1,127.0856092,37.5481496,40000,10300
617-26 노상주차장,1,127.0856146,37.5481216,40000,10300
617-26 노상주차장,1,127.085627,37.548099,40000,10300
617-26 노상주차장,1,127.085647,37.548058,40000,10300
617-33 노상주차장,1,127.0857475,37.5478156,40000,10300
617-33 노상주차장,1,127.0857634,37.5477534,40000,10300
617-33 거주자우선주차장,1,127.0859599,37.5486561,40000,10300
617-33 노상주차장,1,127.0858032,37.5476209,40000,10300
617-33 노상주차장,1,127.0858221,37.5475202,40000,10300
617-33 노상주차장,1,127.085788,37.547704,40000,10300
617-33 노상주차장,1,127.085796,37.547661,40000,10300
617-27 거주자우선주차장,1,127.085822,37.548034,40000,10300
617-26 노상주차장,1,127.085651,37.548053,40000,10300
617-33 노상주차장,1,127.085838,37.5475,40000,10300
617-33 노상주차장,1,127.085815,37.547585,40000,10300
617-26 노상주차장,1,127.085697,37.547916,40000,10300
646-8 노상주차장,1,127.093559,37.540544,40000,10300
658 노상주차장,1,127.095217,37.539012,40000,10300
658 노상주차장,1,127.09522,37.538895,40000,10300
658 노상주차장,1,127.095214,37.538877,40000,10300
658 노상주차장,1,127.095209,37.538812,40000,10300
658 노상주차장,1,127.095214,37.538769,40000,10300
658 노상주차장,1,127.095208,37.538749,40000,10300
658 노상주차장,1,127.095208,37.538638,40000,10300
658 노상주차장,1,127.095203,37.538564,40000,10300
658 노상주차장,1,127.095188,37.538505,40000,10300
658 노상주차장,1,127.0952,37.538397,40000,10300
658 노상주차장,1,127.095188,37.538382,40000,10300
658 노상주차장,1,127.095199,37.538077,40000,10300
