주차장이름(pl_nm),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),법정동코드(bemd_code),경도(logitude),위도(latitude)
하나빌라 주차장,0,10.0,10200,127.080932,37.553549
능동로24길 090-00 주차장,0,8.0,10200,127.081093,37.553641
능동로32길 054-00 주차장,0,3.0,10200,127.081393,37.554247
천호대로114길 039-00 주차장,0,8.0,10200,127.082122,37.553912
천호대로114길 044-00 주차장,0,8.0,10200,127.081776,37.553832
팰리시아 주차장,0,8.0,10200,127.082021,37.553669
능동어린이집 주차장,0,2.0,10200,127.081956,37.553587
능동 245-19 공동주택 윤영숙 주차장,0,5.0,10200,127.084089,37.554165
능동로34길 087-00 주차장,0,5.0,10200,127.084001,37.554043
능동로34길 096-06 주차장,0,5.0,10200,127.084097,37.553695
능동로34길 096-05 주차장,0,5.0,10200,127.084294,37.553623
천호대로 568-00 주차장,0,9.0,10200,127.080969,37.556217
명선풍경채 주차장,0,9.0,10200,127.081659,37.553714
능동로32길 090-00 주차장,0,4.0,10200,127.083226,37.553529
천호대로116길 039-00 주차장,0,6.0,10200,127.083429,37.553424
천호대로116길 046-00 주차장,0,7.0,10200,127.083048,37.553345
천호대로116길 050-00 주차장,0,8.0,10200,127.083049,37.553183
능동로34길 102-05 주차장,0,11.0,10200,127.08458,37.553447
천호대로118길 036-00 주차장,0,6.0,10200,127.08458,37.553214
정수아트빌 주차장,0,8.0,10200,127.083837,37.553269
천호대로112길 019-00 주차장,0,3.0,10200,127.081402,37.555212
해인빌라 주차장,0,18.0,10200,127.084303,37.553398
포스빌 주차장,0,7.0,10200,127.0807,37.553202
신우아트빌 주차장,0,8.0,10200,127.082912,37.553646
능동로32길 076-00 주차장,0,4.0,10200,127.082448,37.553784
능동로32길 072-00 주차장,0,5.0,10200,127.082317,37.553889
능동로32길 053-04 주차장,0,6.0,10200,127.081669,37.554504
능동로32길 053-07 주차장,0,4.0,10200,127.081626,37.554659
준하우스 주차장,0,6.0,10200,127.08246,37.552489
능동로24길 019-00 주차장,0,2.0,10200,127.077869,37.552039
능동 119안전센터 주차장,0,3.0,10200,127.076995,37.551672
욱현하이브빌 주차장,0,13.0,10200,127.083808,37.553592
천호대로116길 066-00 주차장,0,2.0,10200,127.082576,37.552437
천호대로116길 051-09 주차장,0,4.0,10200,127.083516,37.552892
천호대로116길 051-05 주차장,0,4.0,10200,127.08341,37.552931
능동로32길 082-66 주차장,0,6.0,10200,127.081849,37.55277
천호대로116길 051-03 주차장,0,5.0,10200,127.083285,37.552981
능동로32길 106-13 주차장,0,1.0,10200,127.083842,37.552698
삼도정보통신 주차장,0,4.0,10200,127.084303,37.552623
능동로32길 114-00 주차장,0,3.0,10200,127.084391,37.553091
능동로32길 140-00 주차장,0,3.0,10200,127.085763,37.552557
금강 화이트빌 주차장,0,4.0,10200,127.085633,37.552601
능동로32길 136-00 주차장,0,4.0,10200,127.08553,37.552618
능동로32길 133-00 주차장,0,3.0,10200,127.085533,37.552837
능동로32길 131-00 주차장,0,3.0,10200,127.08543,37.552888
능동로32길 129-00 주차장,0,3.0,10200,127.085329,37.552918
능동로32길 130-00 주차장,0,7.0,10200,127.08512,37.552767
능동로34길 148-00 주차장,0,12.0,10200,127.0869,37.552632
어린이대공원부설주차장 주차장,0,24.0,10200,127.08889,37.552432
능동로32길 130-14 주차장,0,4.0,10200,127.084828,37.552545
능동로32길 130-05 주차장,0,8.0,10200,127.085359,37.552529
천호대로118길 031-00 주차장,0,1.0,10200,127.084906,37.553243
천호대로118길 033-03 주차장,0,5.0,10200,127.085009,37.553204
천호대로118길 033-07 주차장,0,1.0,10200,127.085215,37.553122
천호대로120길 028-00 주차장,0,1.0,10200,127.086128,37.553038
로뎀파크 주차장,0,6.0,10200,127.082797,37.553053
삼성하이츠 주차장,0,8.0,10200,127.082766,37.552886
천호대로116길 057-00 주차장,0,5.0,10200,127.083045,37.552778
천호대로116길 062-00 주차장,0,6.0,10200,127.082691,37.552616
천호대로116길 064-04 주차장,0,3.0,10200,127.082558,37.552672
블루스카이 주차장,0,10.0,10200,127.08722,37.552308
천호대로122길 025-05 주차장,0,4.0,10200,127.087784,37.552418
진원아트빌 주차장,0,5.0,10200,127.08024,37.554938
능동로32길 023-00 주차장,0,4.0,10200,127.079954,37.555011
능동로32길 017-04 주차장,0,3.0,10200,127.079774,37.555243
능동로32길 017-03 주차장,0,4.0,10200,127.079612,37.555308
능동로32길 015-00 주차장,0,1.0,10200,127.079548,37.55519
능동로32길 011-00 주차장,0,3.0,10200,127.07939,37.555246
푸르미르 주차장,0,7.0,10200,127.079709,37.555525
능동로34길 005-01 주차장,0,1.0,10200,127.079879,37.555757
세리빌 주차장,0,12.0,10200,127.079977,37.555703
능동로34길 012-06 주차장,0,4.0,10200,127.079818,37.555347
천호대로120길 030-00 주차장,0,5.0,10200,127.086041,37.552924
꿈맞이어린이집 주차장,0,2.0,10200,127.08597,37.55282
신궁전빌라 주차장,0,6.0,10200,127.085921,37.552725
천호대로120길 042-00 주차장,0,3.0,10200,127.085783,37.552429
능동로34길 140-00 주차장,0,4.0,10200,127.086481,37.552811
능동로32길 082-28 주차장,0,4.0,10200,127.082348,37.553302
나예림홈 주차장,0,5.0,10200,127.082202,37.553338
능동로32길 082-26 주차장,0,7.0,10200,127.082441,37.553419
능동로32길 082-18 주차장,0,2.0,10200,127.082146,37.553534
능동로32길 082-16 주차장,0,5.0,10200,127.082238,37.553696
능동로32길 082-14 주차장,0,4.0,10200,127.082362,37.553626
능동로32길 125-00 주차장,0,1.0,10200,127.085135,37.552996
천호대로118길 039-00 주차장,0,4.0,10200,127.084726,37.552917
대공원주택 주차장,0,6.0,10200,127.084653,37.552804
천호대로118길 043-01 주차장,0,4.0,10200,127.084712,37.552726
천호대로118길 047-03 주차장,0,5.0,10200,127.084673,37.552605
능동로32길 110-00 주차장,0,4.0,10200,127.084223,37.553138
능동로32길 106-05 주차장,0,3.0,10200,127.083971,37.55302
파크빌 주차장,0,8.0,10200,127.083952,37.552832
능동로34길 012-05 주차장,0,6.0,10200,127.080041,37.555263
능동로32길 106-10 주차장,0,4.0,10200,127.083699,37.552983
능동로32길 006-06 주차장,0,2.0,10200,127.078874,37.555098
능동로32길 016-00 주차장,0,2.0,10200,127.079343,37.55503
천호대로110길 069-00 주차장,0,1.0,10200,127.078949,37.554264
능동로32길 020-09 주차장,0,3.0,10200,127.079636,37.554587
천호대로112길 039-00 주차장,0,5.0,10200,127.080874,37.554423
천호대로112길 044-06 주차장,0,7.0,10200,127.080309,37.554514
천호대로118길 047-06 주차장,0,5.0,10200,127.084748,37.552466
힐탑 주차장,0,6.0,10200,127.078572,37.553719
천호대로112길 062-00 주차장,0,2.0,10200,127.079776,37.553835
천호대로114길 031-00 주차장,0,3.0,10200,127.082325,37.554272
능동로32길 033-04 주차장,0,9.0,10200,127.080631,37.554871
능동로34길 016-00 주차장,0,4.0,10200,127.080284,37.555326
한성센트빌 주차장,0,8.0,10200,127.078544,37.554438
능동로32길 083-00 주차장,0,5.0,10200,127.083054,37.553817
천호대로116길 036-00 주차장,0,7.0,10200,127.083354,37.55373
천호대로116길 030-00 주차장,0,7.0,10200,127.083436,37.553937
능동로32길 082-07 주차장,0,4.0,10200,127.082746,37.553475
천호대로120길 051-00 주차장,0,1.0,10200,127.085716,37.551971
유은펠리스 주차장,0,5.0,10200,127.083532,37.554377
레나빌9차 주차장,0,5.0,10200,127.083016,37.554592
능동로34길 065-00 주차장,0,5.0,10200,127.082868,37.554463
천호대로116길 045-08 주차장,0,2.0,10200,127.083523,37.553027
천호대로116길 045-06 주차장,0,4.0,10200,127.083399,37.553091
능동로32길 100-00 주차장,0,4.0,10200,127.083715,37.553324
비봉빌딩 주차장,0,6.0,10200,127.085778,37.554355
삼화빌딩 주차장,0,16.0,10200,127.085987,37.554265
천호대로 620-00 주차장,0,8.0,10200,127.086269,37.554141
서울시민교회 주차장,0,8.0,10200,127.08639,37.553972
우송 주차장,0,10.0,10200,127.086431,37.553807
빌라 헤르메스 주차장,0,10.0,10200,127.08165,37.553503
리치 하이츠 파크 주차장,0,7.0,10200,127.081374,37.553109
천호대로114길 063-00 주차장,0,3.0,10200,127.081607,37.552993
능동로32길 130-22 주차장,0,15.0,10200,127.084789,37.552311
천호대로110길 108-00 주차장,0,6.0,10200,127.077832,37.552637
천호대로110길 115-00 주차장,0,1.0,10200,127.077994,37.55233
천호대로110길 117-00 주차장,0,6.0,10200,127.077951,37.552213
마리스홈 주차장,0,6.0,10200,127.080169,37.553751
천호대로120길 020-00 주차장,0,8.0,10200,127.086242,37.553314
천호대로124길 020-00 주차장,0,5.0,10200,127.088126,37.552318
천호대로110길 042-00 주차장,0,5.0,10200,127.079092,37.555447
능동나이스빌딩 주차장,0,5.0,10200,127.088585,37.552918
천호대로 642-00 주차장,0,4.0,10200,127.088191,37.553329
능동로32길 130-20 주차장,0,3.0,10200,127.08491,37.55239
청화빌딩 주차장,0,8.0,10200,127.086932,37.55387
청호하우스 주차장,0,5.0,10200,127.086831,37.553719
천호대로120길 015-00 주차장,0,7.0,10200,127.086642,37.553428
능동로36길 152-00 주차장,0,6.0,10200,127.086818,37.553369
천호대로124길 072-00 주차장,0,4.0,10200,127.0856,37.551807
한국관광용품센타 주차장,0,27.0,10200,127.087881,37.553424
천호대로110길 034-00 주차장,0,4.0,10200,127.079461,37.555813
천호대로110길 036-00 주차장,0,8.0,10200,127.079389,37.555711
천호대로110길 029-00 주차장,0,4.0,10200,127.079723,37.555884
능동로36길 022-04 주차장,0,5.0,10200,127.08022,37.555805
능동로36길 152-01 주차장,0,6.0,10200,127.086759,37.553261
능동로36길 152-02 주차장,0,6.0,10200,127.08697,37.553295
능동로36길 154-00 주차장,0,2.0,10200,127.086958,37.553227
천호대로120길 043-00 주차장,0,1.0,10200,127.085898,37.55227
천호대로124길 060-06 주차장,0,8.0,10200,127.086412,37.55167
우성빌딩 주차장,0,3.0,10200,127.085328,37.554512
락스빌 주차장,0,11.0,10200,127.085275,37.554403
능동로36길 162-00 주차장,0,2.0,10200,127.087435,37.553142
능동로36길 164-00 주차장,0,3.0,10200,127.087563,37.553061
능동로36길 168-00 주차장,0,4.0,10200,127.087713,37.553
누리안 PARK VIEW 주차장,0,12.0,10200,127.088205,37.553022
능동로36길 180-00 주차장,0,3.0,10200,127.088127,37.552655
능동로32길 020-05 주차장,0,4.0,10200,127.079743,37.554786
능동로32길 020-04 주차장,0,4.0,10200,127.079568,37.554845
능동로32길 016-01 주차장,0,5.0,10200,127.079494,37.554998
능동로32길 028-00 주차장,0,4.0,10200,127.080089,37.554754
능동로36길 022-05 주차장,0,6.0,10200,127.080385,37.555741
천호대로112길 044-02 주차장,0,10.0,10200,127.080462,37.554492
천호대로112길 040-00 주차장,0,2.0,10200,127.08127,37.555346
능동로32길 034-00 주차장,0,6.0,10200,127.080433,37.554664
능동로32길 048-00 주차장,0,10.0,10200,127.081053,37.55436
능동로24길 093-00 주차장,0,3.0,10200,127.081004,37.554002
능동로32길 028-04 주차장,0,1.0,10200,127.07989,37.554732
대공원 뜨란채 주차장,0,6.0,10200,127.080052,37.554598
능동로32길 028-08 주차장,0,4.0,10200,127.079834,37.554636
레나빌 주차장,0,4.0,10200,127.079792,37.554531
능동다가구주택 주차장,0,2.0,10200,127.080929,37.555526
능동로36길 040-00 주차장,0,1.0,10200,127.081217,37.555537
능동로34길 025-00 주차장,0,3.0,10200,127.080804,37.555297
솔하우스 주차장,0,5.0,10200,127.080877,37.555431
해피하우스 주차장,0,6.0,10200,127.08073,37.555047
빌라아데나 주차장,0,8.0,10200,127.080456,37.554918
능동로32길 033-00 주차장,0,5.0,10200,127.080448,37.55482
능동로32길 051-00 주차장,0,5.0,10200,127.081403,37.554457
능동로32길 049-00 주차장,0,4.0,10200,127.081271,37.554515
능동로32길 067-00 주차장,0,4.0,10200,127.082236,37.554126
천호대로114길 025-00 주차장,0,10.0,10200,127.082481,37.554444
능동로34길 064-00 주차장,0,5.0,10200,127.082663,37.554372
천호대로124길 052-00 주차장,0,2.0,10200,127.086586,37.551824
천호대로124길 048-00 주차장,0,3.0,10200,127.086758,37.551777
능동로36길 176-00 주차장,0,3.0,10200,127.088032,37.552747
능동로26길 019-00 주차장,0,5.0,10200,127.078379,37.552749
능동로24길 087-00 주차장,0,4.0,10200,127.080814,37.553726
능동로24길 027-00 주차장,0,4.0,10200,127.078278,37.5521
능동로24길 023-00 주차장,0,3.0,10200,127.078148,37.552082
유은팰리스 주차장,0,9.0,10200,127.085911,37.553464
모모우 주차장,0,4.0,10200,127.085836,37.553348
천호대로120길 022-00 주차장,0,9.0,10200,127.08618,37.553204
욱현하이빌 주차장,0,13.0,10200,127.086377,37.55348
리치하우스 주차장,0,6.0,10200,127.085981,37.553071
준 하우스 주차장,0,5.0,10200,127.085896,37.552965
해피하우스 주차장,0,11.0,10200,127.085773,37.553088
능동로34길 120-00 주차장,0,6.0,10200,127.08554,37.553266
유호그라시아 주차장,0,12.0,10200,127.085225,37.553317
천호대로116길 094-00 주차장,0,2.0,10200,127.081455,37.552666
효근빌 주차장,0,7.0,10200,127.086639,37.552824
미하우스 주차장,0,7.0,10200,127.086728,37.553059
트윈하우스2동 주차장,0,7.0,10200,127.086465,37.552898
선림하이즈빌 주차장,0,9.0,10200,127.086591,37.553109
트윈하우스1동 주차장,0,5.0,10200,127.086326,37.552951
전기공사공제조합 서울동부사옥 주차장,0,16.0,10200,127.077444,37.552606
건축세계빌딩 주차장,0,10.0,10200,127.077519,37.552767
천지빌딩 주차장,0,9.0,10200,127.077584,37.552956
능동로 260-00 주차장,0,5.0,10200,127.077604,37.553121
능동로24길 013-00 주차장,0,5.0,10200,127.077626,37.551919
능동로36길 096-00 주차장,0,4.0,10200,127.084072,37.554426
스위트홈 주차장,0,8.0,10200,127.083804,37.554536
일건빌라 주차장,0,6.0,10200,127.083934,37.554717
능동로36길 082-00 주차장,0,6.0,10200,127.083379,37.554696
능동로36길 080-00 주차장,0,6.0,10200,127.083213,37.554771
비전빌 주차장,0,4.0,10200,127.083332,37.554944
