관리번호,위도,경도
광나루로6-1,37.5458923,127.078422
광나루로6-10,37.5622017,127.0750988
광나루로6-10,37.5470091,127.0755117
광나루로6-11,37.547185,127.0751651
광나루로6-11,37.5619397,127.074939
광나루로6-12,37.5473132,127.0748647
광나루로6-12,37.5616618,127.074765
광나루로6-13,37.5614135,127.0746305
광나루로6-13,37.5473932,127.0746074
광나루로6-14,37.5611967,127.0745157
광나루로6-15,37.5609462,127.0743813
광나루로6-16,37.5606661,127.0742215
광나루로6-2,37.5459641,127.0780446
광나루로6-2,37.5639198,127.0760458
광나루로6-3,37.5460554,127.077614
광나루로6-3,37.5636988,127.0759282
광나루로6-4,37.5461505,127.0773049
광나루로6-4,37.5634875,127.0757996
광나루로6-5,37.563209,127.0756762
광나루로6-5,37.5462793,127.076999
광나루로6-6,37.5464179,127.076704
광나루로6-6,37.5629986,127.0755444
광나루로6-7,37.5627503,127.075407
광나루로6-7,37.5465477,127.0764371
광나루로6-8,37.5466988,127.0761594
광나루로6-8,37.5625448,127.0752921
광나루로6-9,37.5468662,127.0758153
광나루로6-9,37.5624003,127.075208
광나루로7-1,37.5451295,127.0831877
광나루로7-2,37.545116,127.0834393
광나루로7-3,37.5450976,127.0837171
광나루로7-4,37.545072,127.0841107
광나루로7-5,37.5450463,127.08449
광나루로7-6,37.5450294,127.0848156
광나루로7-7,37.5450166,127.0850506
광나루로8-1,37.5452988,127.0851821
광나루로8-10,37.5454823,127.0822377
광나루로8-11,37.545497,127.0819434
광나루로8-12,37.5455269,127.0814847
광나루로8-13,37.5455594,127.0811053
광나루로8-14,37.5455831,127.0807373
광나루로8-15,37.5455843,127.0804214
광나루로8-16,37.5455985,127.0800806
광나루로8-17,37.5456201,127.0798145
광나루로8-18,37.5456503,127.0794435
광나루로8-19,37.5457057,127.0791743
광나루로8-2,37.5453155,127.0848112
광나루로8-20,37.5457634,127.0789193
광나루로8-3,37.5453458,127.0844432
광나루로8-4,37.5453694,127.084109
광나루로8-5,37.5453863,127.0837919
