"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"광진구","공원-중곡3-093-03","37.5664","127.0774","1","2022-12-01"
"광진구","공원-중곡4-025-01","37.5570","127.0921","1","2022-12-01"
"광진구","공원-중곡4-025-비상벨","37.5570","127.0921","1","2022-12-01"
"광진구","공원-중곡4-026-01","37.5591","127.0909","1","2022-12-01"
"광진구","공원-중곡4-026-비상벨","37.5591","127.0909","1","2022-12-01"
"광진구","공원-중곡4-061-01","37.5624","127.0962","1","2022-12-01"
"광진구","공원-중곡4-061-02","37.5624","127.0962","1","2022-12-01"
"광진구","공원-중곡4-062-01","37.5623","127.0961","1","2022-12-01"
"광진구","공원-중곡4-062-02","37.5623","127.0961","1","2022-12-01"
"광진구","공원-중곡4-062-03","37.5623","127.0961","1","2022-12-01"
"광진구","공원-중곡4-063-01","37.5623","127.0956","1","2022-12-01"
"광진구","공원-중곡4-063-02","37.5623","127.0956","1","2022-12-01"
"광진구","공원-중곡4-063-03","37.5623","127.0956","1","2022-12-01"
"광진구","공원-중곡4-063-04","37.5623","127.0956","1","2022-12-01"
"광진구","공원-중곡4-064-01","37.5631","127.0962","1","2022-12-01"
"광진구","공원-중곡4-064-02","37.5631","127.0962","1","2022-12-01"
"광진구","공원-중곡4-064-03","37.5631","127.0962","1","2022-12-01"
"광진구","공원-중곡4-065-01","37.5631","127.0966","1","2022-12-01"
"광진구","공원-중곡4-065-02","37.5631","127.0966","1","2022-12-01"
"광진구","공원-중곡4-065-03","37.5631","127.0966","1","2022-12-01"
"광진구","공원-중곡4-066-01","37.5635","127.0964","1","2022-12-01"
"광진구","공원-중곡4-066-02","37.5635","127.0964","1","2022-12-01"
"광진구","공원-중곡4-066-03","37.5635","127.0964","1","2022-12-01"
"광진구","공원-중곡4-066-04","37.5635","127.0964","1","2022-12-01"
"광진구","공원-중곡4-067-01","37.5642","127.0964","1","2022-12-01"
"광진구","공원-중곡4-075-01","37.5519","127.1010","1","2022-12-01"
"광진구","공원-중곡4-075-02","37.5519","127.1010","1","2022-12-01"
"광진구","공원-중곡4-075-03","37.5519","127.1010","1","2022-12-01"
"광진구","공원-중곡4-076-01","37.5511","127.1011","1","2022-12-01"
"광진구","공원-중곡4-076-02","37.5511","127.1011","1","2022-12-01"
"광진구","공원-중곡4-076-03","37.5511","127.1011","1","2022-12-01"
"광진구","공원-중곡4-077-01","37.5542","127.1013","1","2022-12-01"
"광진구","공원-중곡4-077-02","37.5542","127.1013","1","2022-12-01"
"광진구","공원-중곡4-077-03","37.5542","127.1013","1","2022-12-01"
"광진구","공원-중곡4-078-01","37.5552","127.1016","1","2022-12-01"
"광진구","공원-중곡4-078-02","37.5552","127.1016","1","2022-12-01"
"광진구","공원-중곡4-078-03","37.5552","127.1016","1","2022-12-01"
"광진구","공원-중곡4-079-01","37.5582","127.1024","1","2022-12-01"
"광진구","공원-중곡4-080-01","37.5581","127.1026","1","2022-12-01"
"광진구","공원-중곡4-081-01","37.5518","127.1002","1","2022-12-01"
"광진구","공원-중곡4-081-02","37.5518","127.1002","1","2022-12-01"
"광진구","공원-중곡4-082-01","37.5600","127.1016","1","2022-12-01"
"광진구","공원-중곡4-082-02","37.5600","127.1016","1","2022-12-01"
"광진구","공원-중곡4-083-01","37.5661","127.0850","1","2022-12-01"
"광진구","공원-중곡4-083-02","37.5661","127.0850","1","2022-12-01"
"광진구","공원-중곡4-083-03","37.5661","127.0850","1","2022-12-01"
"광진구","공원-중곡4-083-04","37.5661","127.0850","1","2022-12-01"
"광진구","공원-중곡4-083-비상벨","37.5661","127.0850","1","2022-12-01"
"광진구","공원-중곡4-094-02","37.5568","127.0920","1","2022-12-01"
"광진구","공원-중곡4-094-03","37.5568","127.0920","1","2022-12-01"
"광진구","공원-중곡4-094-04","37.5568","127.0920","1","2022-12-01"
"광진구","공원-중곡4-095-02","37.5589","127.0910","1","2022-12-01"
"광진구","공원-중곡4-095-03","37.5589","127.0910","1","2022-12-01"
"광진구","공원-화양-027-01","37.5466","127.0677","1","2022-12-01"
"광진구","공원-화양-027-비상벨","37.5466","127.0677","1","2022-12-01"
"광진구","공원-화양-028-01","37.5430","127.0668","1","2022-12-01"
"광진구","공원-화양-028-비상벨","37.5430","127.0668","1","2022-12-01"
"광진구","공원-화양-029-01","37.5466","127.0718","1","2022-12-01"
"광진구","공원-화양-029-비상벨","37.5466","127.0718","1","2022-12-01"
"광진구","공원-화양-030-01","37.5446","127.0707","1","2022-12-01"
"광진구","공원-화양-030-비상벨","37.5446","127.0707","1","2022-12-01"
"광진구","공원-화양-031-01","37.5416","127.0698","1","2022-12-01"
"광진구","공원-화양-031-비상벨","37.5416","127.0698","1","2022-12-01"
"광진구","공원-화양-102-02","37.5463","127.0680","1","2022-12-01"
"광진구","공원-화양-102-03","37.5463","127.0680","1","2022-12-01"
"광진구","공원-화양-103-02","37.5415","127.0697","1","2022-12-01"
"광진구","공원-화양-103-03","37.5415","127.0697","1","2022-12-01"
"광진구","관제센터 체험용 CCTV-01","37.5463","127.0706","1","2022-12-01"
"광진구","관제센터 체험용 CCTV-02","37.5463","127.0706","1","2022-12-01"
"광진구","관제센터 체험용 CCTV-비상벨","37.5463","127.0706","1","2022-12-01"
"광진구","그린파킹-구의1-001-01","37.5445","127.0873","1","2022-12-01"
"광진구","그린파킹-구의1-001-비상벨","37.5445","127.0873","1","2022-12-01"
"광진구","그린파킹-구의1-002-01","37.5424","127.0882","1","2022-12-01"
"광진구","그린파킹-구의1-002-비상벨","37.5424","127.0882","1","2022-12-01"
"광진구","그린파킹-구의1-047-01","37.5429","127.0830","1","2022-12-01"
"광진구","그린파킹-구의1-047-비상벨","37.5429","127.0830","1","2022-12-01"
"광진구","그린파킹-구의2-003-01","37.5474","127.0892","1","2022-12-01"
"광진구","그린파킹-구의2-003-비상벨","37.5474","127.0892","1","2022-12-01"
"광진구","그린파킹-구의2-048-01","37.5479","127.0903","1","2022-12-01"
