일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
119,4807768,45-14 노상주차장,11215,10700,서울특별시 광진구 화양동 45-14,0,0,0,0,0,0,30000,20000,40000,127.066621,37.543414
120,4825435,44-15 노상주차장,11215,10700,서울특별시 광진구 화양동 44-15,0,0,0,0,0,0,30000,20000,40000,127.06637,37.542983
121,4817112,44-71 노상주차장,11215,10700,서울특별시 광진구 화양동 44-71,0,0,0,0,0,0,30000,20000,40000,127.06651,37.543187
122,4758110,45-87 노상주차장,11215,10700,서울특별시 광진구 화양동 45-87,0,0,0,0,0,0,30000,20000,40000,127.066544,37.543293
123,4754429,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070206,37.543595
124,4755110,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070052,37.543757
125,4755156,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070372,37.543423
126,4755157,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070244,37.543575
127,4755361,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070299,37.543172
128,4755362,10-1 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 10-1 한아름건물,0,0,0,0,0,0,30000,20000,40000,127.070299,37.543172
129,4755363,47-22 노상주차장,11215,10700,서울특별시 광진구 화양동 47-22,0,0,0,0,0,0,30000,20000,40000,127.068071,37.542704
130,4755364,47-22 노상주차장,11215,10700,서울특별시 광진구 화양동 47-22,0,0,0,0,0,0,30000,20000,40000,127.068021,37.542628
131,4755365,234 노상주차장,11215,10700,서울특별시 광진구 화양동 234 화양동현대아파트,0,0,0,0,0,0,30000,20000,40000,127.067516,37.541583
132,4755366,8-36 거주자우선주차장,11215,10700,서울특별시 광진구 화양동 8-36 화양공원 공중화장실,0,0,0,0,0,0,30000,20000,40000,127.069471,37.541517
133,4757756,45-58 노상주차장,11215,10700,서울특별시 광진구 화양동 45-58,0,0,0,0,0,0,30000,20000,40000,127.067095,37.542521
