일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),주차면수-대시민(pl_area_citizen),주차면수-평면식(pl_area_plane),주차면수-자주식-면수(pl_area_self_area),주차면수-자주식-층(pl_area_self_floor),주차면수-자주식-단(pl_area_self_step),주차면수-기계식-면수(pl_area_mechanic_area),주차면수-기계식-층(pl_area_mechanic_floor),주차면수-기계식-단(pl_area_mechanic_step),기계식주차장현황-계(pl_mechanic_total),기계식주차장현황-2단식(pl_mechanic_second_step),기계식주차장현황-다단식(pl_mechanic_multi_step),기계식주차장현황-수평순환식(pl_mechanic_horizon),기계식주차장현황-수직순환식(pl_mechanic_vertical),기계식주차장현황-기타(pl_mechanic_etc),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),경도(longitude),위도(latitude)
50.0,4849143.0,광진주차장,11215.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 216-15,30.0,2000.0,10.0,1000.0,0.0,0.0,127.086519,37.536965
51.0,4849174.0,일승주차장,11215.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 7-6,30.0,2000.0,10.0,500.0,20000.0,0.0,127.069052,37.540292
52.0,5531906.0,자양동52-141노외주차장,11215.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 52-141,30.0,2000.0,10.0,500.0,20000.0,0.0,127.064221,37.535746
53.0,4847413.0,화양동공영주차장,11215.0,44.0,0.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,서울특별시 광진구 화양동 63-2 화양공영주차장,0.0,0.0,5.0,150.0,0.0,0.0,127.071213,37.545288
54.0,4848098.0,자투리땅주차장제2호,11215.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,서울특별시 광진구 화양동 132-8,0.0,0.0,0.0,0.0,0.0,0.0,127.070697,37.54635
55.0,4848288.0,자투리땅주차장제11호,11215.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,서울특별시 광진구 화양동 499-44,60.0,3000.0,0.0,0.0,0.0,0.0,127.075284,37.546175
56.0,4848340.0,화양느티나무주차장,11215.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,서울특별시 광진구 화양동 110-67,0.0,0.0,0.0,0.0,40000.0,0.0,127.071592,37.54626
57.0,4848341.0,화양동마을마당,11215.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,서울특별시 광진구 화양동 523-2,0.0,0.0,0.0,0.0,0.0,0.0,127.076139,37.545201
58.0,4848101.0,광진광장공영주차장,11215.0,36.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,서울특별시 광진구 군자동 374-4 광진광장,60.0,3000.0,5.0,250.0,120000.0,0.0,127.073259,37.547695
59.0,4848102.0,군자동거주자전용야외주차장,11215.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,서울특별시 광진구 군자동 2-37,0.0,0.0,0.0,0.0,0.0,0.0,127.076563,37.553993
60.0,4849002.0,동산교회옆부지,11215.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,서울특별시 광진구 군자동 54-4,0.0,0.0,0.0,0.0,0.0,0.0,127.075861,37.555515
61.0,4849003.0,동원,11215.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,서울특별시 광진구 군자동 53-4,0.0,0.0,0.0,0.0,15000.0,0.0,127.075623,37.554876
