pl_id,pl_nm,logitude,latitude,resident_day_month_amt,resident_night_month_amt,resident_allday_month_amt
4800204,611 노상주차장,127.095112,37.537769,30000,20000,40000
4798337,611 노상주차장,127.095206,37.538843,30000,20000,40000
4798336,611 노상주차장,127.094837,37.537612,30000,20000,40000
4758847,611 노상주차장,127.095203,37.538591,30000,20000,40000
4758846,611 노상주차장,127.095185,37.538285,30000,20000,40000
4758803,611 노상주차장,127.094788,37.537585,30000,20000,40000
4757462,611 노상주차장,127.095211,37.538681,30000,20000,40000
4757460,611 노상주차장,127.095191,37.538192,30000,20000,40000
4757458,611 노상주차장,127.095030,37.537711,30000,20000,40000
4757457,611 노상주차장,127.094895,37.537633,30000,20000,40000
4754883,611 노상주차장,127.095208,37.538760,30000,20000,40000
4754504,611 노상주차장,127.095211,37.538803,30000,20000,40000
4736670,611 노상주차장,127.095165,37.537814,30000,20000,40000
5539204,587 노상주차장,127.090047,37.5365402,30000,20000,40000
5539203,587 노상주차장,127.0899606,37.5365308,30000,20000,40000
5539202,587 노상주차장,127.0898957,37.5365257,30000,20000,40000
5539201,587 노상주차장,127.0898416,37.536524,30000,20000,40000
5539200,587 노상주차장,127.0897681,37.5365257,30000,20000,40000
5539199,587 노상주차장,127.0897069,37.536527,30000,20000,40000
5539198,587 노상주차장,127.0896522,37.5365231,30000,20000,40000
5539197,587 노상주차장,127.0896109,37.5365236,30000,20000,40000
5539196,587 노상주차장,127.0895374,37.5365261,30000,20000,40000
5539195,587 노상주차장,127.089478,37.536525,30000,20000,40000
5015302,성진강변스파랜드,127.091285,37.5348715,30000,20000,40000
1629386	,동서울호텔길(노상),127.091634,37.5331504,0,0,0
4825129,동서울호텔길A공영주차장,127.091746,37.534048,30000,20000,40000
4800205,동서울호텔길A공영주차장,127.091743,37.534197,30000,20000,40000
4758779,동서울호텔길A공영주차장,127.091743,37.534213,30000,20000,40000
5529590,612-7 노상주차장,127.0860067,37.5490632,30000,20000,40000
5529589,612-7 노상주차장,127.0859817,37.5490875,30000,20000,40000
5529588,612-7 노상주차장,127.0859428,37.5491159,30000,20000,40000
5529587,612-7 노상주차장,127.0855659,37.5488521,30000,20000,40000
5529586,612-7 노상주차장,127.0855599,37.5488465,30000,20000,40000
5529585,612-7 노상주차장,127.085553,37.5488413,30000,20000,40000
5529584,612-7 노상주차장,127.0855465,37.5488344,30000,20000,40000
5529583,612-7 노상주차장,127.0855394,37.5488305,30000,20000,40000
5529582,612-7 노상주차장,127.0855288,37.5488208,30000,20000,40000
5529581,612-7 노상주차장,127.0855122,37.5488039,30000,20000,40000
5529580,612-7 노상주차장,127.0854921,37.5487983,30000,20000,40000
5529579,612-7 노상주차장,127.0854683,37.5487809,30000,20000,40000
5529571,612-7 노상주차장,127.085449,37.548762,30000,20000,40000
5529570,612-7 노상주차장,127.0854579,37.5487299,30000,20000,40000
5529569,612-7 노상주차장,127.0854681,37.5487089,30000,20000,40000
5529565,612-10 노상주차장,127.0854819,37.5484235,30000,20000,40000
5529564,612-10 노상주차장,127.085572,37.5482643,30000,20000,40000
5529563,612-10 노상주차장,127.085551,37.5483007,30000,20000,40000
5529562,612-10 노상주차장,127.0855341,37.5483372,30000,20000,40000
5529561,612-10 노상주차장,127.0855131,37.5483749,30000,20000,40000
5529557,612-15 노상주차장,127.0855621,37.5482531,30000,20000,40000
5529556,612-15 노상주차장,127.0855671,37.5482357,30000,20000,40000
4798475,612-15 노상주차장,127.085565,37.548210,30000,20000,40000
4759094,612-10 노상주차장,127.085496,37.548403,30000,20000,40000
4757766,612-10 노상주차장,127.085467,37.548471,30000,20000,40000
4755467,612-15 노상주차장,127.085591,37.548149,30000,20000,40000
4735348,612-7 노상주차장,127.085480,37.548684,30000,20000,40000
4759115,613-1 노상주차장,127.086152,37.548889,30000,20000,40000
5529718,614-13 노상주차장,127.087855,37.548670,0,0,0
5529720,615-27 노상주차장,127.087823,37.548611,0,0,0
5529783,616-16 노상주차장,127.086876,37.548437,0,0,0
5530280,617-40 노상주차장,127.086544,37.548611,0,0,0
5529555,617-26 노상주차장,127.0855969,37.548189,30000,20000,40000
5529554,617-26 노상주차장,127.0856092,37.5481496,30000,20000,40000
5529553,617-26 노상주차장,127.0856146,37.5481216,30000,20000,40000
5529550,617-26 노상주차장,127.085627,37.548099,30000,20000,40000
5529546,617-26 노상주차장,127.085647,37.548058,30000,20000,40000
5529527,617-33 노상주차장,127.0857475,37.5478156,30000,20000,40000
5529526,617-33 노상주차장,127.0857634,37.5477534,30000,20000,40000
5529525,617-33 거주자우선주차장,127.0859599,37.5486561,30000,20000,40000
5529515,617-33 노상주차장,127.0858032,37.5476209,30000,20000,40000
5529514,617-33 노상주차장,127.0858221,37.5475202,30000,20000,40000
4808138,617-33 노상주차장,127.085788,37.547704,30000,20000,40000
4759114,617-33 노상주차장,127.085796,37.547661,30000,20000,40000
4759112,617-27 거주자우선주차장,127.085822,37.548034,30000,20000,40000
4757797,617-26 노상주차장,127.085651,37.548053,30000,20000,40000
4756781,617-33 노상주차장,127.085838,37.547500,30000,20000,40000
4756472,617-33 노상주차장,127.085815,37.547585,30000,20000,40000
4736680,617-26 노상주차장,127.085697,37.547916,30000,20000,40000
4754465,646-8 노상주차장,127.093559,37.540544,30000,20000,40000
5544227,658 노상주차장,127.095217,37.539012,30000,20000,40000
5544226,658 노상주차장,127.095220,37.538895,30000,20000,40000
