일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
6078,5122304,나경훼밀리 주차장,11215,10300,서울특별시 광진구 구의동 32-13,0,0,0,0,0,0,0,4,4.0,127.093817,37.552698
6079,5021467,자양로50가길 022-00 주차장,11215,10300,서울특별시 광진구 구의동 32-1,0,0,0,0,0,0,1,3,0.0,127.093957,37.552858
6080,5011584,자양로50가길 029-00 주차장,11215,10300,서울특별시 광진구 구의동 26-6,0,0,0,0,0,0,0,5,6.0,127.093986,37.553229
6081,5011588,대성아트빌 주차장,11215,10300,서울특별시 광진구 구의동 25-22 대성아트빌,0,0,0,0,0,0,0,5,8.0,127.094217,37.553192
6082,5011589,자양로50가길 031-00 주차장,11215,10300,서울특별시 광진구 구의동 26-5,0,0,0,0,0,0,0,4,4.0,127.094081,37.553355
6083,5011840,자양로50가길 034-00 주차장,11215,10300,서울특별시 광진구 구의동 25-16,0,0,0,0,0,0,1,3,0.0,127.094286,37.553312
6084,5011841,현대파크빌라 주차장,11215,10300,서울특별시 광진구 구의동 26-4 현대파크빌라,0,0,0,0,0,0,1,4,3.0,127.09416,37.553464
6085,4957898,자양로50가길 036-00 주차장,11215,10300,서울특별시 광진구 구의동 25-17,0,0,0,0,0,0,1,2,0.0,127.094372,37.553408
6086,5011842,욱현빌라 주차장,11215,10300,서울특별시 광진구 구의동 26-3 욱현빌라,0,0,0,0,0,0,1,4,2.0,127.094267,37.553615
6087,5016261,이화주택 주차장,11215,10300,서울특별시 광진구 구의동 25-27 이화주택,0,0,0,0,0,0,1,4,6.0,127.094469,37.553501
6088,5016260,해오름 주차장,11215,10300,서울특별시 광진구 구의동 26-2 해오름,0,0,0,0,0,0,0,4,2.0,127.094344,37.553735
6089,5022868,이화주택 주차장,11215,10300,서울특별시 광진구 구의동 25-26 이화주택,0,0,0,0,0,0,1,4,3.0,127.094565,37.55362
6090,5129447,자양로50가길 045-00 주차장,11215,10300,서울특별시 광진구 구의동 26-1,0,0,0,0,0,0,1,4,0.0,127.094443,37.553865
6091,5021463,자양로50가길 005-03 주차장,11215,10300,서울특별시 광진구 구의동 31-26,0,0,0,0,0,0,1,2,0.0,127.09324,37.552503
6092,5021465,자양로50길 017-00 주차장,11215,10300,서울특별시 광진구 구의동 32-34,0,0,0,0,0,0,1,4,0.0,127.093397,37.552196
