"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",성북구,안암동,1927,590,14353,7071,7282,1412,2884,353,2270,144,9031,18,168
"합계",성북구,보문동,1787,645,6720,3338,3382,1541,2998,174,2620,59,959,13,143
"합계",성북구,정릉1동,1275,472,2752,1490,1262,1145,2051,67,304,51,306,12,91
"합계",성북구,정릉2동,1422,518,3344,1722,1622,1252,1912,90,580,58,590,22,262
"합계",성북구,정릉3동,1042,353,5404,2894,2510,839,1264,85,630,98,3422,20,88
"합계",성북구,정릉4동,1524,574,5018,2808,2210,1323,2025,96,1196,73,1370,32,427
"합계",성북구,길음1동,1583,738,4419,1707,2712,1392,2366,96,701,59,1077,36,275
"합계",성북구,길음2동,1696,792,5554,2051,3503,1398,2771,232,1558,52,1102,14,123
"합계",성북구,월곡1동,1841,693,5848,2868,2980,1614,2955,126,1449,65,1109,36,335
"합계",성북구,월곡2동,2162,789,11083,6191,4892,1812,3617,225,2460,102,4728,23,278
"합계",성북구,장위1동,1532,571,3104,1498,1606,1404,2222,61,286,44,330,23,266
"합계",성북구,장위2동,1538,541,3865,1787,2078,1376,2518,101,466,43,404,18,477
"합계",성북구,장위3동,877,291,2429,1249,1180,771,1371,57,395,35,542,14,121
"합계",성북구,성북동,1790,793,6288,2831,3457,1327,2566,314,2140,125,1288,24,294
"합계",성북구,삼선동,2507,1018,11157,5305,5852,2077,3896,288,1905,120,5099,22,257
