점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,띵똥와플건대점,206238.045647521,448934.074403635
휴게음식점,영업,커피농장의하루,205689.460239005,447960.928820914
휴게음식점,영업,커피킹,207859.45812424,450042.160296352
휴게음식점,영업,탐앤탐스 군자역점,206930.096793526,450421.476067528
휴게음식점,영업,원두볶는사람들,206992.322241833,447779.051429045
휴게음식점,영업,지에스(GS)25광진아차산역점,207825.465863194,449902.401682584
휴게음식점,영업,세븐몽키스중곡점,207660.236611285,450759.001378184
휴게음식점,영업,빅밤(BIG BOMB),206686.595268579,450299.12481082
휴게음식점,영업,커피앤버스,206664.040562157,447980.037904391
휴게음식점,영업,카페도르프,207308.293561634,450479.450199819
휴게음식점,영업,이디야커피동서울터미널점,208080.912100162,447993.12681343
휴게음식점,영업,광나루김밥집,208999.557532583,449386.425207138
휴게음식점,영업,GS25자양강변점,206895.595033906,447521.179774067
휴게음식점,영업,카페숨꿈,209230.652014326,449539.427659363
휴게음식점,영업,초가만두,207789.460351798,448428.754164083
휴게음식점,영업,GS편의점,206934.50247854,448350.951668105
휴게음식점,영업,이디야,207062.687267536,450747.181409911
휴게음식점,영업,아메리카노,209108.029073763,449403.358325519
휴게음식점,영업,씨유(CU)광장현대점,208568.939233791,448921.321944575
휴게음식점,영업,시크릿테이블,205945.98820137,447862.351973505
휴게음식점,영업,7번가피자구의점,207690.609984123,449485.144479626
휴게음식점,영업,씨유 자양로점,207738.082768929,449472.71909597
휴게음식점,영업,씨유(CU)중곡한성점,207357.421085258,451825.378394178
휴게음식점,영업,이디야커피(건대스타시티점),206349.675048285,448396.939704285
휴게음식점,영업,"안녕,제주",207030.481467316,450857.595472468
휴게음식점,영업,투썸플레이스동서울터미널,208201.993320839,447967.299542306
휴게음식점,영업,이타르트군자역점,207010.871583566,450476.132985226
휴게음식점,영업,투썸플레이스건대입구점,206231.358288595,448907.568977395
휴게음식점,영업,캠프나인커피(CAMP9 COFFEE),206278.982112971,449425.131943862
휴게음식점,영업,삼촌김밥,207771.329956322,450223.753609897
휴게음식점,영업,스타벅스커피 자양사거리점,207202.136637434,448365.660089296
휴게음식점,영업,화양연화,207284.449328273,448028.98393578
휴게음식점,영업,숙이카페,207728.108404584,451282.244836632
휴게음식점,영업,도로시인더커피(DOROSI IN THE COFFEE),205965.564760877,448244.038861845
휴게음식점,영업,커피?,206351.215962926,449539.617520008
휴게음식점,영업,메종드타르트,207952.602595954,450393.538095873
휴게음식점,영업,옥루몽어린이대공원점,206437.707982171,449422.187668891
휴게음식점,영업,3팝(POP) PC방,207866.804668978,448680.644700444
휴게음식점,영업,홀리앤졸리 건대점,205927.723813941,448680.236049743
휴게음식점,영업,스타벅스커피구의디티(DT)점,207644.67001505,449227.714207129
휴게음식점,영업,이디야커피(세종대후문점),206291.779444678,450069.393539379
휴게음식점,영업,탐앤탐스 광진화양점,206186.103163031,449000.000810567
휴게음식점,영업,쑥스러운커피,208330.792872433,450259.843226476
휴게음식점,영업,(주) 프랑스에다녀온붕어빵 롯데백화점건대스타시티점,206217.434726027,448506.218743834
휴게음식점,영업,명품고로케넘버원(No.1),208394.416382167,448165.279999905
휴게음식점,영업,왓유워너(What u wanna),206161.393082977,449458.218401377
휴게음식점,영업,최가커피,207104.157318316,448077.700023959
휴게음식점,영업,제일손수만두,207129.620794259,451375.185515312
